No,OSNR,SNRx,SNRy,MIx,MIy,GMIx,GMIy,AIRx,AIRy,NGMI,NAIR,BERx,BERy,PilotSeqLen,PilotRat,FrameLen,OH
1,0,26.4307728250006,26.421396259102,5.9999791742344,5.99956309056305,5.99986457399468,5.99960080608045,5.73388830963187,5.73363623464897,0.999955448339593,0.955627045356737,2.6668373442567e-06,1.60010240655402e-05,1024,32,65536,0.04638671875
1,0,26.95014021729,26.9072325917183,5.99997577905264,5.99998230224866,5.99997944790104,5.99998910269408,5.73399809113454,5.73400731792696,0.99999737921626,0.955667117421792,2.6668373442567e-06,0,1024,32,65536,0.04638671875
1,0,26.4465724569677,26.4779239346737,5.99995356892509,5.99975367673633,5.99978553010426,5.99979328255146,5.733812769787,5.73382017856528,0.999964901054644,0.955636079029356,8.0005120327701e-06,8.0005120327701e-06,1024,32,65536,0.04638671875
